cloud,seed,ratio,dim,delta,excess,r_above,p_left,depth,z,zdec_mean,zdec_sd,dec_frac_cert,time_s,n_closure
synthetic_deep_vitl_spectrum,0,1.881852865219116,1024,0.06307502080965187,-0.008115852943038945,199,0.009950248756218905,-0.013152371997988672,-1.8011453099686723,-4.824146124285981,0.7338300935431304,1.0,4210.648034095764,
synthetic_deep_vitl_spectrum,1,1.881852865219116,1024,0.06168667419952241,-0.00950419958669542,199,0.009950248756218905,-0.020952686532160522,-2.4490989261889546,-4.442508172569843,0.5839363796293954,1.0,4100.172979831696,
synthetic_deep_vitl_spectrum,2,1.881852865219116,1024,0.06221616916783472,-0.008974704665598965,199,0.009950248756218905,-0.019593142749446426,-2.376550420173597,-4.187767544742595,0.5955490009570673,1.0,3903.6815717220306,
synthetic_deep_vitl_spectrum,3,1.881852865219116,1024,0.06133925701676063,-0.009851616918600592,199,0.009950248756218905,-0.020484679626129786,-2.0771709751046123,-4.479485957321453,0.670342173971457,1.0,3686.275306224823,
synthetic_deep_vitl_spectrum,4,1.881852865219116,1024,0.062232857847320355,-0.008958015764634786,199,0.009950248756218905,-0.018524352535716902,-2.2008040474801613,-4.284464830309362,0.5370082603441111,1.0,2940.0994894504547,
synthetic_flat_vitl_spectrum,0,1.881852865219116,1024,0.05143979615146462,-0.019751077614435543,200,0.004975124378109453,-0.000409953678717892,-0.0793989548863773,-1.60917942149158,0.26607875900765904,0.1,2642.1195068359375,
synthetic_flat_vitl_spectrum,1,1.881852865219116,1024,0.05096190847654958,-0.020228965254570408,200,0.004975124378109453,-0.0026584195002198018,-0.31836308031663896,-1.6109344864862059,0.30707026601526666,0.1,2464.838164329529,
synthetic_flat_vitl_spectrum,2,1.881852865219116,1024,0.05155171104288956,-0.019639162694029065,200,0.004975124378109453,-0.001927697425629796,-0.19771576396065788,-1.761221494654111,0.37011976818514,0.2,2188.859632253647,
synthetic_flat_vitl_spectrum,3,1.881852865219116,1024,0.05149085914605693,-0.019700014645815014,200,0.004975124378109453,-0.004249934846282187,-0.6926605993326648,-1.7446661336459073,0.3287985390315387,0.2,1286.576261997223,
synthetic_flat_vitl_spectrum,4,1.881852865219116,1024,0.05195751939536244,-0.019233354479920133,200,0.004975124378109453,-0.0020972791889577137,-0.2697724511353884,-1.6836275297928391,0.38708189293150397,0.2,962.981912612915,
wordnet_poincare_d10,0,,10,0.18240875968603804,0.08304799166470272,0,1.0,0.04789693456688722,2.3554212104779775,0.3183629027290711,0.5817572692191483,0.0,572.409679889679,19646.0
wordnet_poincare_d50,0,,50,0.12432170797732227,0.0353679281592096,0,1.0,0.022960375042470355,1.5272969729298003,-2.2188416029468314,0.6482668143507393,0.6,574.4733610153198,19646.0
